State,Party,Won
Andaman & Nicobar Islands,BJP,1
Andhra Pradesh,TDP,16
Andhra Pradesh,YSRCP,4
Andhra Pradesh,BJP,3
Andhra Pradesh,JnP,2
Arunachal Pradesh,BJP,2
Assam,BJP,9
Assam,INC,3
Assam,UPPL,1
Assam,AGP,1
Bihar,JD(U),12
Bihar,BJP,12
Bihar,LJPRV,5
Bihar,RJD,4
Bihar,INC,3
Bihar,CPI(ML)(L),2
Bihar,HAMS,1
Bihar,IND,1
Chandigarh,INC,1
Chhattisgarh,BJP,10
Chhattisgarh,INC,1
Dadra & Nagar Haveli and Daman & Diu,BJP,1
Dadra & Nagar Haveli and Daman & Diu,IND,1
Goa,BJP,1
Goa,INC,1
Gujarat,BJP,25
Gujarat,INC,1
Haryana,INC,5
Haryana,BJP,5
Himachal Pradesh,BJP,4
Jammu and Kashmir,JKN,2
Jammu and Kashmir,BJP,2
Jammu and Kashmir,IND,1
Jharkhand,BJP,8
Jharkhand,JMM,3
Jharkhand,INC,2
Jharkhand,AJSUP,1
Karnataka,BJP,17
Karnataka,INC,9
Karnataka,JD(S),2
Kerala,INC,14
Kerala,IUML,2
Kerala,CPI(M),1
Kerala,BJP,1
Kerala,KEC,1
Kerala,RSP,1
Ladakh,IND,1
Lakshadweep,INC,1
Madhya Pradesh,BJP,29
Maharashtra,INC,13
Maharashtra,BJP,9
Maharashtra,SHSUBT,9
Maharashtra,NCPSP,8
Maharashtra,SHS,7
Maharashtra,NCP,1
Maharashtra,IND,1
Manipur,INC,2
Meghalaya,VOTPP,1
Meghalaya,INC,1
Mizoram,ZPM,1
Nagaland,INC,1
NCT OF Delhi,BJP,7
Odisha,BJP,20
Odisha,INC,1
Puducherry,INC,1
Punjab,INC,7
Punjab,AAAP,3
Punjab,SAD,1
Punjab,IND,2
Rajasthan,BJP,14
Rajasthan,INC,8
Rajasthan,CPI(M),1
Rajasthan,RLTP,1
Rajasthan,BHRTADVSIP,1
Sikkim,SKM,1
Tamil Nadu,DMK,22
Tamil Nadu,INC,9
Tamil Nadu,VCK,2
Tamil Nadu,CPI,2
Tamil Nadu,CPI(M),2
Tamil Nadu,MDMK,1
Tamil Nadu,IUML,1
Telangana,BJP,8
Telangana,INC,8
Telangana,AIMIM,1
Tripura,BJP,2
Uttar Pradesh,SP,37
Uttar Pradesh,BJP,33
Uttar Pradesh,INC,6
Uttar Pradesh,RLD,2
Uttar Pradesh,ASPKR,1
Uttar Pradesh,ADAL,1
Uttarakhand,BJP,5
West Bengal,AITC,29
West Bengal,BJP,12
West Bengal,INC,1
